N,m,method_code,run_id,restart_length,q,s,zeta,iteration,true_relres
1000,1000000,1,0,0,0,0,0,75,1.04524030059959e-05
1000,1000000,1,0,0,0,0,0,100,4.43967909970505e-06
1000,1000000,1,0,0,0,0,0,125,2.31136514594112e-06
1000,1000000,1,0,0,0,0,0,150,1.37148074241392e-06
1000,1000000,1,0,0,0,0,0,175,9.08783725808409e-07
1000,1000000,1,0,0,0,0,0,200,6.31658205784901e-07
1000,1000000,1,0,0,0,0,0,225,4.43375857773927e-07
1000,1000000,1,0,0,0,0,0,250,3.21297735940206e-07
1000,1000000,3,0,50,0,0,0,0,1
1000,1000000,3,0,50,0,0,0,5,0.0161755208469415
1000,1000000,3,0,50,0,0,0,10,0.00303534493422474
1000,1000000,3,0,50,0,0,0,20,0.000476032358542297
1000,1000000,3,0,50,0,0,0,30,0.00015517599277896
1000,1000000,3,0,50,0,0,0,50,3.5696293261464e-05
1000,1000000,3,0,50,0,0,0,75,1.14653703641923e-05
1000,1000000,3,0,50,0,0,0,100,4.59050182772572e-06
1000,1000000,3,0,50,0,0,0,125,2.77378729086116e-06
1000,1000000,3,0,50,0,0,0,150,1.52704506574157e-06
1000,1000000,3,0,50,0,0,0,175,1.12234664274128e-06
1000,1000000,3,0,50,0,0,0,200,7.8952158060847e-07
1000,1000000,3,0,50,0,0,0,225,6.22538567435699e-07
1000,1000000,3,0,50,0,0,0,250,4.90147047534837e-07
1000,1000000,2,1,0,2,502,12,0,1
1000,1000000,2,1,0,2,502,12,5,0.0162204486834017
1000,1000000,2,1,0,2,502,12,10,0.00306870515129865
1000,1000000,2,1,0,2,502,12,20,0.000484498475030686
1000,1000000,2,1,0,2,502,12,30,0.000159895417346499
1000,1000000,2,1,0,2,502,12,50,3.83974351086525e-05
1000,1000000,2,1,0,2,502,12,75,1.1454043819804e-05
1000,1000000,2,1,0,2,502,12,100,5.0747292967758e-06
1000,1000000,2,1,0,2,502,12,125,2.72871311992698e-06
