phase,measured,N,number_of_unknowns,preconditioner_tucker_rank,preconditioner_spectral_delta,preconditioner_condition_number,preconditioner_setup_time_sec,method_index,method_id,method_name,repeat_index,order_position,iterations,passed,stop_reason,final_original_true_relative_residual,final_computed_preconditioned_relative_residual,final_independent_preconditioned_relative_residual,preconditioned_residual_gap,solver_time_sec,diagnostic_time_sec,wall_time_sec,outer_call_time_sec,basis_storage_mib,maximum_basis_rank,solution_mode_1_rank,solution_mode_2_rank,solution_mode_3_rank,rank_cap_active,maximum_operator_error_to_tolerance_ratio,maximum_orthogonalisation_error_to_tolerance_ratio,preallocated_full_basis_gib,conservative_full_array_estimate_gib
warmup,0,250,15625000,9,0.0446634764104692,1.08253548475397,0.245664541666667,3,relaxed,Relaxed Tucker-GMRES,2,2,4,1,iteration_limit,4.68358992374808e-07,1.27781907491226e-12,9.73204443026849e-11,9.60426252277726e-11,0.595667666666667,0.398902041666667,0.997234875,1.00433795833333,0.767356872558594,23,12,12,12,0,0.869196875650627,0.870506015771266,0.582076609134674,2.09547579288483
measured,1,250,15625000,9,0.0446634764104692,1.08253548475397,0.245664541666667,3,relaxed,Relaxed Tucker-GMRES,2,2,4,1,iteration_limit,4.68358992374808e-07,1.27781907491226e-12,9.73204443026849e-11,9.60426252277726e-11,0.434727333333333,0.365236125,0.80152425,0.802817458333333,0.767356872558594,23,12,12,12,0,0.869196875650627,0.870506015771266,0.582076609134674,2.09547579288483
warmup,0,250,15625000,9,0.0446634764104692,1.08253548475397,0.23732025,1,full,Preconditioned full GMRES,2,3,4,1,cycle_length,7.07389356190019e-11,2.81691196964206e-14,2.91788403868499e-14,1.00972069042938e-15,4.77066708333333,0.697195166666667,5.46792729166667,5.47297191666667,596.046447753906,NaN,NaN,NaN,NaN,0,NaN,NaN,0.582076609134674,2.09547579288483
measured,1,250,15625000,9,0.0446634764104692,1.08253548475397,0.23732025,1,full,Preconditioned full GMRES,2,3,4,1,cycle_length,7.07389356190019e-11,2.81691196964206e-14,2.91788403868499e-14,1.00972069042938e-15,4.63813941666667,0.751968541666667,5.39012091666667,5.41622325,596.046447753906,NaN,NaN,NaN,NaN,0,NaN,NaN,0.582076609134674,2.09547579288483
warmup,0,250,15625000,9,0.0446634764104692,1.08253548475397,0.260383041666667,3,relaxed,Relaxed Tucker-GMRES,3,1,4,1,iteration_limit,4.68358992374808e-07,1.27781907491226e-12,9.73204443026849e-11,9.60426252277726e-11,0.587277916666667,0.417156541666667,1.00752233333333,1.01664466666667,0.767356872558594,23,12,12,12,0,0.869196875650627,0.870506015771266,0.582076609134674,2.09547579288483
measured,1,250,15625000,9,0.0446634764104692,1.08253548475397,0.260383041666667,3,relaxed,Relaxed Tucker-GMRES,3,1,4,1,iteration_limit,4.68358992374808e-07,1.27781907491226e-12,9.73204443026849e-11,9.60426252277726e-11,0.465612958333333,0.437657125,0.904998791666667,0.906337416666667,0.767356872558594,23,12,12,12,0,0.869196875650627,0.870506015771266,0.582076609134674,2.09547579288483
warmup,0,250,15625000,9,0.0446634764104692,1.08253548475397,0.253379041666667,1,full,Preconditioned full GMRES,3,2,4,1,cycle_length,7.07389356190019e-11,2.81691196964206e-14,2.91788403868499e-14,1.00972069042938e-15,4.513566875,0.71673925,5.23039570833333,5.23680725,596.046447753906,NaN,NaN,NaN,NaN,0,NaN,NaN,0.582076609134674,2.09547579288483
measured,1,250,15625000,9,0.0446634764104692,1.08253548475397,0.253379041666667,1,full,Preconditioned full GMRES,3,2,4,1,cycle_length,7.07389356190019e-11,2.81691196964206e-14,2.91788403868499e-14,1.00972069042938e-15,4.27528529166667,0.700349791666667,4.97564425,4.98448908333333,596.046447753906,NaN,NaN,NaN,NaN,0,NaN,NaN,0.582076609134674,2.09547579288483
warmup,0,250,15625000,9,0.0446634764104692,1.08253548475397,0.263386666666667,2,fixed,Fixed Tucker-GMRES,3,3,4,1,computed_preconditioned_floor,3.43962154575798e-07,2.09757401130175e-14,7.32128315231207e-11,7.31918557830077e-11,3.648013625,0.4396995,4.09092904166667,4.09945129166667,8.25971984863281,89,12,12,12,0,0.937492590596304,0.92168840861335,0.582076609134674,2.09547579288483
measured,1,250,15625000,9,0.0446634764104692,1.08253548475397,0.263386666666667,2,fixed,Fixed Tucker-GMRES,3,3,4,1,computed_preconditioned_floor,3.43962154575798e-07,2.09757401130175e-14,7.32128315231207e-11,7.31918557830077e-11,2.18471204166667,0.37455125,2.56098204166667,2.56226358333333,8.25971984863281,89,12,12,12,0,0.937492590596304,0.92168840861335,0.582076609134674,2.09547579288483
warmup,0,300,27000000,9,0.0651005613636253,1.13043020408938,0.325808791666667,1,full,Preconditioned full GMRES,1,1,4,1,cycle_length,3.16325408301007e-10,6.33029277984497e-14,6.19744438136874e-14,1.32848398476231e-15,13.6672700416667,1.71720104166667,15.384695875,15.3931387916667,1029.96826171875,NaN,NaN,NaN,NaN,0,NaN,NaN,1.00582838058472,3.62098217010498
measured,1,300,27000000,9,0.0651005613636253,1.13043020408938,0.325808791666667,1,full,Preconditioned full GMRES,1,1,4,1,cycle_length,3.16325408301007e-10,6.33029277984497e-14,6.19744438136874e-14,1.32848398476231e-15,9.49723391666667,2.05486779166667,11.5522192916667,11.5737013333333,1029.96826171875,NaN,NaN,NaN,NaN,0,NaN,NaN,1.00582838058472,3.62098217010498
warmup,0,300,27000000,9,0.0651005613636253,1.13043020408938,0.308742458333333,2,fixed,Fixed Tucker-GMRES,1,2,4,1,iteration_limit,2.73674526962275e-07,5.96446426240324e-14,4.67790842855522e-11,4.67194396429282e-11,3.85912591666667,0.772910875,4.63573404166667,4.64435558333333,8.04831695556641,86,13,13,13,0,0.919382690706766,0.932416280972983,1.00582838058472,3.62098217010498
measured,1,300,27000000,9,0.0651005613636253,1.13043020408938,0.308742458333333,2,fixed,Fixed Tucker-GMRES,1,2,4,1,iteration_limit,2.73674526962275e-07,5.96446426240324e-14,4.67790842855522e-11,4.67194396429282e-11,3.1987485,0.445113125,3.64577329166667,3.64800608333333,8.04831695556641,86,13,13,13,0,0.919382690706766,0.932416280972983,1.00582838058472,3.62098217010498
warmup,0,300,27000000,9,0.0651005613636253,1.13043020408938,0.329599,3,relaxed,Relaxed Tucker-GMRES,1,3,4,1,iteration_limit,6.36190220123328e-07,2.23080834844821e-12,9.76012013541232e-11,9.5370393005675e-11,0.644000041666667,0.45466,1.10266975,1.11013491666667,0.862648010253906,21,13,13,13,0,0.87965337126,0.967999497238757,1.00582838058472,3.62098217010498
measured,1,300,27000000,9,0.0651005613636253,1.13043020408938,0.329599,3,relaxed,Relaxed Tucker-GMRES,1,3,4,1,iteration_limit,6.36190220123328e-07,2.23080834844821e-12,9.76012013541232e-11,9.5370393005675e-11,0.491516625,0.489139666666667,0.982115333333333,0.9831535,0.862648010253906,21,13,13,13,0,0.87965337126,0.967999497238757,1.00582838058472,3.62098217010498
warmup,0,300,27000000,9,0.0651005613636253,1.13043020408938,0.316468666666667,2,fixed,Fixed Tucker-GMRES,2,1,4,1,iteration_limit,2.73674526962275e-07,5.96446426240324e-14,4.67790842855522e-11,4.67194396429282e-11,4.25496504166667,0.606892875,4.86601725,4.87300029166667,8.04831695556641,86,13,13,13,0,0.919382690706766,0.932416280972983,1.00582838058472,3.62098217010498
measured,1,300,27000000,9,0.0651005613636253,1.13043020408938,0.316468666666667,2,fixed,Fixed Tucker-GMRES,2,1,4,1,iteration_limit,2.73674526962275e-07,5.96446426240324e-14,4.67790842855522e-11,4.67194396429282e-11,3.44456691666667,0.505537416666667,3.95238970833333,3.95359858333333,8.04831695556641,86,13,13,13,0,0.919382690706766,0.932416280972983,1.00582838058472,3.62098217010498
warmup,0,300,27000000,9,0.0651005613636253,1.13043020408938,0.319933875,3,relaxed,Relaxed Tucker-GMRES,2,2,4,1,iteration_limit,6.36190220123328e-07,2.23080834844821e-12,9.76012013541232e-11,9.5370393005675e-11,0.648862375,0.522803541666667,1.174941125,1.184046,0.862648010253906,21,13,13,13,0,0.87965337126,0.967999497238757,1.00582838058472,3.62098217010498
